Unnamed: 0,system:index,elevation,surface_runoff_sum,temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,.geo,longitude,latitude,geometry,index_right,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_n,sendist_en,sendistpco,center_lat,center_lon,distance,state_name,lga,region_type,flood_influence,historical_flood_lga,high_risk_state,hybrid_score,flood_label
9450,9450,630,8.110328998700607e-05,298.62648149191745,0.0018605314215275,0.1803589084821986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.848405548577286,11.09419375887609]}",8.848405548577286,11.09419375887609,POINT (8.848405548577286 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,2,0
9451,9451,637,9.436992097804124e-05,298.3992660931033,0.0019902942153553,0.1807782300690547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.938237076989239,11.09419375887609]}",8.938237076989239,11.09419375887609,POINT (8.938237076989239 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,3,0
9452,9452,721,0.0001046934128079,298.1733634376498,0.0020818458989638,0.1647051067343587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.028068605401192,11.09419375887609]}",9.028068605401192,11.09419375887609,POINT (9.02806860540119 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,3,0
9453,9453,641,0.0001013893030485,298.51236207405765,0.0020149922439317,0.1701806119346881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.117900133813142,11.09419375887609]}",9.117900133813142,11.09419375887609,POINT (9.117900133813142 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,3,0
9454,9454,649,0.0001006309862878,298.80111339040343,0.0019062508534932,0.1795318962757616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.207731662225095,11.09419375887609]}",9.207731662225097,11.09419375887609,POINT (9.207731662225093 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,3,0
9455,9455,628,9.66397262446579e-05,299.0546571994753,0.0018270607644663,0.1757915980845268,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.297563190637048,11.09419375887609]}",9.297563190637048,11.09419375887609,POINT (9.297563190637048 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,2,0
9456,9456,571,9.460365701516108e-05,299.0608493381847,0.0018504073576983,0.1766551197817495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.387394719048999,11.09419375887609]}",9.387394719049,11.09419375887609,POINT (9.387394719048997 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,2,0
9457,9457,577,4.91384867390015e-05,299.19495887007696,0.0018919905680506,0.1283979881631353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.477226247460951,11.09419375887609]}",9.477226247460951,11.09419375887609,POINT (9.477226247460951 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,3,0
9458,9458,526,1.6369989940098355e-05,299.4257336780032,0.0019145862712988,0.0940988944869197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.567057775872904,11.09419375887609]}",9.567057775872904,11.09419375887609,POINT (9.567057775872904 11.094193758876091),529,Ningi,,,,NG005015,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,4648.37831516,v01,en,,,,Ningi,Bauchi Central,NG00501,11.06335348,9.20696076,0.0,Bauchi,Ningi,Northern Flash Floods,,0,0,1,0
9459,9459,449,1.5684308689079128e-05,299.5828314658876,0.0019056076789777,0.0932684503297328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.656889304284856,11.09419375887609]}",9.656889304284856,11.09419375887609,POINT (9.656889304284855 11.094193758876091),743,Warji,,,,NG005019,Bauchi,,,,NG005,Nigeria,,,,NG,2019-04-17,,658.82260523,v01,en,,,,Warji,Bauchi Central,NG00501,11.163895,9.74370205,0.0,Bauchi,Warji,Northern Flash Floods,,0,0,1,0
