Unnamed: 0,system:index,elevation,surface_runoff_sum,temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,.geo,longitude,latitude,geometry,index_right,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_n,sendist_en,sendistpco,center_lat,center_lon,distance,state_name,lga,region_type,flood_influence,historical_flood_lga,high_risk_state,hybrid_score,flood_label
0,0,6,0.0002306450425299,299.99946741533284,0.0070946187164906,0.2515496959538288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.06362816780677,4.266997599567727]}",6.06362816780677,4.266997599567727,POINT (6.06362816780677 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,2297.545517922832,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,5,1
1,1,13,0.0002906510359018,299.95104726851986,0.0073008847315921,0.2633450744758912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.1534596962187225,4.266997599567727]}",6.1534596962187225,4.266997599567727,POINT (6.153459696218722 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,964.2083492537018,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,4,1
2,2,5,0.0002906510359018,299.95104726851986,0.0073008847315921,0.2633450744758912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.243291224630674,4.266997599567727]}",6.243291224630674,4.266997599567727,POINT (6.243291224630674 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,3000.5941693405584,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,5,1
3,3,4,0.0002806699069217,299.9150355791878,0.0074023698414219,0.253628408239618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.333122753042626,4.266997599567727]}",6.333122753042626,4.266997599567727,POINT (6.333122753042626 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,3658.107577955317,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,5,1
4,4,489,0.0041470324262697,297.5286742558169,0.0143341540314044,0.3874466532027178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.028068605401192,4.266997599567727]}",9.028068605401192,4.266997599567727,POINT (9.02806860540119 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,74153.8084571693,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
5,5,1185,0.0034217913501178,294.0030183187091,0.0129332425879282,0.3710982469088331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.117900133813142,4.266997599567727]}",9.117900133813142,4.266997599567727,POINT (9.117900133813142 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,81893.05525749105,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
6,6,2188,0.0031404215068862,292.2922734420594,0.0112700791441772,0.3556141797473003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.207731662225095,4.266997599567727]}",9.207731662225097,4.266997599567727,POINT (9.207731662225093 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,89630.7905876955,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
7,7,1714,0.0030740241939648,295.7586059187272,0.010133301378941,0.3593944164782771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.297563190637048,4.266997599567727]}",9.297563190637048,4.266997599567727,POINT (9.297563190637048 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,97097.9603237126,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
8,8,58,0.0020396456714092,299.2299457853575,0.009297557093178,0.368612777800497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.387394719048999,4.266997599567727]}",9.387394719049,4.266997599567727,POINT (9.387394719048997 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,104981.81908723932,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,7,1
9,9,40,0.0017530936110188,299.7328930786172,0.0085468603585979,0.367934979569798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.477226247460951,4.266997599567727]}",9.477226247460951,4.266997599567727,POINT (9.477226247460951 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,113200.48930418312,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
10,10,43,0.0015802407634688,299.280196968286,0.007933297194597,0.3647541067615842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.567057775872904,4.266997599567727]}",9.567057775872904,4.266997599567727,POINT (9.567057775872904 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,121686.15047961328,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,5,1
11,11,59,0.0013118111199029,299.2021577685061,0.0075482900609075,0.3646449854108061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.656889304284856,4.266997599567727]}",9.656889304284856,4.266997599567727,POINT (9.656889304284855 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,130386.68512692428,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,5,1
12,12,49,0.0013118111199029,299.2021577685061,0.0075482900609075,0.3646449854108061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.746720832696807,4.266997599567727]}",9.746720832696807,4.266997599567727,POINT (9.746720832696807 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,139261.8257033431,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,5,1
13,13,23,0.001220404136023,299.3778166324784,0.0071676987003283,0.3540611296107777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.83655236110876,4.266997599567727]}",9.83655236110876,4.266997599567727,POINT (9.836552361108758 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,148280.22301732932,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,4,1
14,14,54,0.0011464155214064,299.4462725420118,0.0069458197062403,0.3502990012297292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.926383889520713,4.266997599567727]}",9.926383889520713,4.266997599567727,POINT (9.926383889520713 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,157417.2575606294,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,4,1
15,15,107,0.0010874947419943,299.4106413079381,0.0072987584426667,0.3462982874164728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.016215417932665,4.266997599567727]}",10.016215417932663,4.266997599567727,POINT (10.016215417932663 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,166653.41705992754,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,2,0
16,16,113,0.0012396954710708,298.9970737006336,0.0077662469279068,0.3488590412264667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.106046946344616,4.266997599567727]}",10.106046946344616,4.266997599567727,POINT (10.106046946344616 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,175381.18677913074,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,4,1
17,17,315,0.0013783497966244,298.00240542285405,0.0084112775255439,0.3716706186419624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.195878474756569,4.266997599567727]}",10.195878474756569,4.266997599567727,POINT (10.195878474756569 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,183810.28967588657,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,4,1
18,18,533,0.001610264297709,296.9698933424802,0.0091444978436629,0.3822450096632963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.285710003168521,4.266997599567727]}",10.28571000316852,4.266997599567727,POINT (10.28571000316852 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,192387.63287236769,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,5,1
19,19,757,0.0028758897683708,296.6808031709813,0.0094700697202177,0.3834513767694524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.375541531580472,4.266997599567727]}",10.375541531580472,4.266997599567727,POINT (10.375541531580472 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,201079.82898833856,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,6,1
20,20,616,0.0026098552637315,296.9058920614948,0.0085464293743054,0.3899620691064686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.465373059992425,4.266997599567727]}",10.465373059992425,4.266997599567727,POINT (10.465373059992425 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,209888.52748477232,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,5,1
21,21,568,0.002368873321047,296.8021965903201,0.0072952744376016,0.3811375452433656,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.555204588404377,4.266997599567727]}",10.555204588404376,4.266997599567727,POINT (10.555204588404377 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,218799.6579372842,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,4,1
22,22,801,0.002368873321047,296.8021965903201,0.0072952744376016,0.3811375452433656,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.64503611681633,4.266997599567727]}",10.64503611681633,4.266997599567727,POINT (10.645036116816328 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,227801.19985904184,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,4,1
23,23,584,0.0014440927642602,296.66139553272666,0.0060546427131748,0.3752226635834109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.734867645228281,4.266997599567727]}",10.73486764522828,4.266997599567727,POINT (10.73486764522828 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,236882.84657392497,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,3,0
24,24,614,0.0008157743629882,297.12037819915014,0.0048466151953139,0.3613437839463368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.824699173640234,4.266997599567727]}",10.824699173640234,4.266997599567727,POINT (10.824699173640234 4.266997599567727),33,Akamkpa,,,,NG009002,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,5028.47402601,v01,en,,,,Akamkpa,Cross River South,NG00903,5.38760969,8.52822975,246035.72778097133,Cross River,Akamkpa,Coastal/Delta,Coastal+River,0,0,2,0
25,25,587,0.0004647625384946,297.7532594507547,0.0037486874233325,0.3547199158731628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.914530702052186,4.266997599567727]}",10.914530702052186,4.266997599567727,POINT (10.914530702052184 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,254480.16213098413,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,2,0
26,26,385,0.0002429391534183,298.20335867443816,0.003146979241637,0.4022483526798893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.004362230464139,4.266997599567727]}",11.00436223046414,4.266997599567727,POINT (11.004362230464139 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,252812.31320299892,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,2,0
27,27,380,0.000168484692185,298.5339384521498,0.0028498834807231,0.3987908501902905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.09419375887609,4.266997599567727]}",11.09419375887609,4.266997599567727,POINT (11.09419375887609 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,251531.26743188524,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,2,0
28,28,392,0.0001105121700309,298.8129111434628,0.0024208741327731,0.3566920392030488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.184025287288042,4.266997599567727]}",11.184025287288042,4.266997599567727,POINT (11.184025287288042 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,250642.9557851764,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
29,29,425,0.0001037854485346,298.6330855831098,0.0023481016664637,0.2678456442116347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.273856815699995,4.266997599567727]}",11.273856815699997,4.266997599567727,POINT (11.273856815699993 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,250098.3426501641,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
30,30,568,0.0001343300439407,298.28438335043256,0.0026317110569673,0.2800797538345264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.363688344111946,4.266997599567727]}",11.363688344111946,4.266997599567727,POINT (11.363688344111946 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,249945.0233676252,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
31,31,608,0.0001896251926461,298.346588843964,0.0028463463014322,0.2907306570160173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.453519872523898,4.266997599567727]}",11.453519872523898,4.266997599567727,POINT (11.453519872523898 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,250191.6233932033,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
32,32,502,0.0001896251926461,298.346588843964,0.0028463463014322,0.2907306570160173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.543351400935851,4.266997599567727]}",11.543351400935853,4.266997599567727,POINT (11.54335140093585 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,250836.96323710008,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
33,33,493,0.0001812529946124,298.66171611354633,0.0029033179599924,0.2775444536834439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.633182929347804,4.266997599567727]}",11.633182929347804,4.266997599567727,POINT (11.633182929347804 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,251877.9780685364,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
34,34,545,0.0001235307963239,298.6631310000257,0.0028014994035256,0.2896831117226941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.723014457759755,4.266997599567727]}",11.723014457759756,4.266997599567727,POINT (11.723014457759755 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,253309.78967615505,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
35,35,588,0.0001187377334293,298.4326353956711,0.0027228806458302,0.2883743795107327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.812845986171707,4.266997599567727]}",11.812845986171707,4.266997599567727,POINT (11.812845986171707 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,255125.81848112063,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
36,36,597,0.000129089786385,298.23649691070005,0.0028805220160146,0.2942212144116656,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.90267751458366,4.266997599567727]}",11.90267751458366,4.266997599567727,POINT (11.902677514583658 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,257317.9297397395,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
37,37,613,0.000176698578133,298.0268860826677,0.0031175672671027,0.3021240634822452,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.99250904299561,4.266997599567727]}",11.99250904299561,4.266997599567727,POINT (11.992509042995609 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,259876.60663366623,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
38,38,676,0.0002102497939593,297.8213502822103,0.003257479849836,0.3124862054557578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.082340571407563,4.266997599567727]}",12.082340571407563,4.266997599567727,POINT (12.082340571407563 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,262791.14213632303,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
39,39,701,0.0001790451335613,297.864480381195,0.0032512098139047,0.3192952102528811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.172172099819516,4.266997599567727]}",12.172172099819516,4.266997599567727,POINT (12.172172099819514 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,266049.84137412475,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
40,40,650,0.0001827532239343,297.8478728386798,0.0033700886186878,0.3189773510239829,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.262003628231469,4.266997599567727]}",12.262003628231469,4.266997599567727,POINT (12.262003628231469 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,269640.2266077538,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
41,41,663,0.000222418509978,297.56352734504065,0.0034989493821826,0.3192595469249755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.35183515664342,4.266997599567727]}",12.35183515664342,4.266997599567727,POINT (12.35183515664342 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,273299.4825154564,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
42,42,760,0.000222418509978,297.56352734504065,0.0034989493821826,0.3192595469249755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.441666685055372,4.266997599567727]}",12.441666685055372,4.266997599567727,POINT (12.44166668505537 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,277216.12398638617,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
43,43,742,0.0003578519539602,297.37633867726686,0.0036489144474024,0.3273036213347698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.531498213467325,4.266997599567727]}",12.531498213467325,4.266997599567727,POINT (12.531498213467323 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,281433.74291803496,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
44,44,704,0.0004322266011464,297.48508302708103,0.0037380598791234,0.3281330591500955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.621329741879277,4.266997599567727]}",12.621329741879276,4.266997599567727,POINT (12.62132974187928 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,285939.02130991814,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,2,0
45,45,716,0.0004380931597439,297.6024265274798,0.0037090232254613,0.3265380656249481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.711161270291228,4.266997599567727]}",12.711161270291228,4.266997599567727,POINT (12.711161270291228 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,290718.5858566544,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,2,0
46,46,705,0.0003624007221445,297.6272145823661,0.0036160409929722,0.3241397724763886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.80099279870318,4.266997599567727]}",12.80099279870318,4.266997599567727,POINT (12.800992798703179 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,295759.1391949065,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,2,0
47,47,698,0.0003659765893658,297.6320386718581,0.0035272596671464,0.3201283916715401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.890824327115133,4.266997599567727]}",12.890824327115132,4.266997599567727,POINT (12.890824327115133 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,301047.57210801635,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,2,0
48,48,709,0.0003262968850375,297.68083830821416,0.0034399685730583,0.3108261464738639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.980655855527084,4.266997599567727]}",12.980655855527084,4.266997599567727,POINT (12.980655855527084 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,306571.05689701106,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
49,49,707,0.0002741148616287,297.7286125390872,0.0033574271645913,0.3033721264540726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.070487383939037,4.266997599567727]}",13.070487383939035,4.266997599567727,POINT (13.070487383939035 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,312317.1227803073,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
50,50,692,0.0002143639970837,297.7597001501003,0.0033333083463948,0.3025756074506981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.16031891235099,4.266997599567727]}",13.16031891235099,4.266997599567727,POINT (13.16031891235099 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,318273.71464918164,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,0,0
51,51,692,0.0002154488675891,297.79665478756186,0.0033776673859968,0.3104717655666484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.250150440762942,4.266997599567727]}",13.250150440762942,4.266997599567727,POINT (13.25015044076294 4.266997599567727),669,Sardauna,,,,NG035011,Taraba,,,,NG035,Nigeria,,,,NG,2019-04-17,,4595.61746269,v01,en,,,,Sardauna,Taraba Central,NG03501,6.92809079,11.23064058,324429.23680119816,Taraba,Sardauna,River Basin Flooding,River Benue,0,0,1,0
